,name,address,sido,gugun
0,개포1호,"서울 강남구 개포동 1229-18
										(서울 강남구 논현로16길 5)
										02 -573-5699,5499",서울,강남구
1,논현1호(서울),"서울 강남구 논현동 184-21
										(서울 강남구 강남대로114길 15(논현동))
										02 -540-2182",서울,강남구
2,대치1호,"서울 강남구 대치동936
										(서울 강남구 선릉로 312)
										02 -556-3599, 558-3599",서울,강남구
3,대치2호,"서울 강남구 대치동 990번지 삼성상가 113호 1/2
										(서울 강남구 도곡로 516, 삼정상가 113호의 1/2)
										02 -556-9963",서울,강남구
4,삼성1호,"서울 강남구 삼성동 44-18
										(서울 강남구 봉은사로 451)
										02 -515-2399,2599",서울,강남구
5,세곡,"서울 강남구 자곡동 611
										(서울 강남구 자곡로 101 강남레미안힐즈상가 103호)
										02 -2226-1991",서울,강남구
6,압구정신사,"서울 강남구 신사동 640-5 대성빌딩 1층 1호
										(서울 강남구 언주로172길 29, 대성빌딩 1층 1호)
										02 -547-9945",서울,강남구
7,역삼1호,"서울 강남구 역삼동 837-15
										(서울 강남구 강남대로 66길 16 1층)
										02 -566-9942",서울,강남구
8,일원본동,"서울 강남구 수서동 747 삼성아파트 상가 104호
										(서울 강남구 광평로31길 27, 삼성아파트 상가 104호)
										02 -2226-4080",서울,강남구
9,청담역,"서울 강남구 청담동 65 진흥아파트상가
										(서울 강남구 학동로 87길 9 진흥아파트상가)
										02 -515-9995,515-9975",서울,강남구
10,강일,"서울 강동구 강일동 679-3 리슈빌오피스텔
										(서울 강동구 아리수로 419 리슈빌오피스텔)
										02 -426-6692,6696",서울,강동구
11,고덕1호,"서울 강동구 고덕동 650-1
										(서울 강동구 고덕로61길 116)
										02 -481-9503~4",서울,강동구
12,길1호,"서울 강동구 길동 347-31
										(서울 강동구 천중로 201)
										02 -473-0092",서울,강동구
13,둔촌1호,"서울 강동구 둔촌동 454-5
										(서울 강동구 진황도로 168(둔촌동,예창빌딩))
										02 -475-9295",서울,강동구
14,명일1호,"서울 강동구 명일동 328-2
										(서울 강동구 구천면로 438)
										02 -3426-9199,3380",서울,강동구
15,성내,"서울 강동구 성내2동 509-7 1층
										(서울 강동구 풍성로 143, 1층)
										02 -485-9293",서울,강동구
16,암사1호,"서울 강동구 천호동 287-22
										(서울 강동구 올림픽로92길 11)
										02 -426-8533,3426-8400",서울,강동구
17,암사2호,"서울 강동구 암사동 446-18
										(서울 강동구 고덕로 85)
										02 -427-9982",서울,강동구
18,천호1호,"서울 강동구 천호동 550번지
										(서울 강동구 구천면로 216)
										02 -470-9908",서울,강동구
19,덕성여대,"서울 강북구 우이동 72-148
										(서울 강북구 삼양로 525)
										02 -900-3123",서울,강북구
20,미아1호,"서울 강북구 미아5동 1264-233
										(서울 강북구 삼양로 128)
										02 -987-9280",서울,강북구
21,미아역,"서울 강북구 미아동 131-8
										(서울 강북구 도봉로 142)
										02 -989-6288",서울,강북구
22,수유1호,"서울 강북구 수유동 385-2
										(서울 강북구 삼각산로 119)
										02 -994-8911~2",서울,강북구
23,수유역점,"서울 강북구 번동 461-127
										(서울 강북구 한천로 1016)
										02 -903-3693",서울,강북구
24,가양,"서울 강서구 등촌동 75-1
										(서울 강서구 양천로 482 삼부르네상스 109호)
										02 -3665-3433",서울,강서구
25,강서구청,"서울 강서구 화곡6동 987-7
										(서울 강서구 화곡로 289)
										02 -2699-3999,2699-2828",서울,강서구
26,까치산역,"서울 강서구 화곡동 343-62 라인씨티 1층
										(서울 강서구 곰달래로 125, 라인씨티 1층)
										02 -2602-1991",서울,강서구
27,등촌,"서울 강서구 등촌동 649-14
										(서울 강서구 공항대로 509)
										02 -2647-2328",서울,강서구
28,마곡1호,"서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호
										(서울 강서구 강서로 429 마곡오드카운티1차 111호)
										02 -3662-5556",서울,강서구
29,발산역,"서울 강서구 내발산동 655-6번지 1층 13호
										(서울 강서구 강서로 341, 1층 13호)
										02 -2663-6077",서울,강서구
30,방화2호,"서울 강서구 방화2동 580-27
										(서울 강서구 방화동로 113-1)
										02 -2666-9559",서울,강서구
31,염창,"서울 강서구 염창동 249-5
										(서울 강서구 양천로 689)
										02 -3662-9238",서울,강서구
32,화곡2호,"서울 강서구 화곡동 400-45
										(서울 강서구 가로공원로 227)
										02 -2692-9279",서울,강서구
33,봉천2호,"서울 관악구 봉천동 1674-20
										(서울 관악구 남부순환로 1881)
										02 -882-1107",서울,관악구
34,봉천3호,"서울 관악구 봉천동 1632-9
										(서울 관악구 봉천로 604)
										02 -888-2366,887-3998",서울,관악구
35,봉천4호,"서울 관악구 봉천동 931-12
										(서울 관악구 봉천로 374)
										02 -884-9991,882-8991",서울,관악구
36,봉천5호,"서울 관악구 봉천3동 7-291
										(서울 관악구 관악로 274-1)
										02 -889-2299,6699",서울,관악구
37,신림1호,"서울 관악구 신림4동 504-22
										(서울 관악구 남부순환로161가길 42)
										02 -830-6668",서울,관악구
38,신림2호,"서울 관악구 신림동 762-7
										(서울 관악구 문성로 82)
										02 -857-9992,857-9799",서울,관악구
39,신림3호,"서울 관악구 신림9동 246-49
										(서울 관악구 대학길 47)
										02 -877-3688",서울,관악구
40,건대,"서울 광진구 화양동 9-18
										(서울 광진구 아차산로 31길 13)
										02 -462-1991",서울,광진구
41,광장,"서울 광진구 광장동 530-13
										(서울 광진구 광나루로 607(광장동))
										02 -453-9292",서울,광진구
42,구의2호,"서울 광진구 구의동 229-43
										(서울 광진구 광나루로 544)
										02 -453-9995",서울,광진구
43,자양1호,"서울 광진구 자양3동 584-28
										(서울 광진구 자양번영로 15)
										02 -452-8593~4",서울,광진구
44,자양2호,"서울 광진구 자양동 624-42
										(서울 광진구 자양로13길 40(자양동))
										02 -458-1991",서울,광진구
45,중곡1호,"서울 광진구 중곡동 243-1
										(서울 광진구 긴고랑로 40)
										02 -446-9908",서울,광진구
46,중곡2호,"서울 광진구 중곡동 24-2
										(서울시 광진구 용마산로 109)
										02 -453-9288",서울,광진구
47,개봉1호,"서울 구로구 개봉동 403-159
										(서울 구로구 개봉로 30-1)
										02 -2066-9244~5",서울,구로구
48,고척1호,"서울 구로구 개봉1동 126-4
										(서울 구로구 고척로 129)
										02 -2060-4940",서울,구로구
49,구로2호,"서울 구로구 구로동 74-30
										(서울 구로구 구로중앙로 18길 68)
										02 -854-1004",서울,구로구
50,구로디지털,"서울 구로구 구로동 826-1
										(서울 구로구 디지털로 26길 110)
										02 -856-5542",서울,구로구
51,동양미래대학,"서울 구로구 고척동 343
										(서울 구로구 중앙로 8길 11, 106호)
										02 -2060-1991",서울,구로구
52,신도림1호,"서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호
										(서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호)
										02 -2675-9288",서울,구로구
53,오류1호,"서울 구로구 오류1동 10-3
										(서울 구로구 경인로 189-1)
										02 -2060-9277",서울,구로구
54,천왕역,"서울 구로구 오류동 203-1 1층
										(서울 구로구 서해안로 2264)
										02 -2616-1991",서울,구로구
55,가산디지털,"서울 금천구 가산동 371-6 가산비지니스센터 2층
										(서울 금천구 가산디지털1로 165)
										02 -865-0865",서울,금천구
56,독산1호,"서울 금천구 독산동 888-20 102호,103호
										(서울 금천구 문성로 7, 102호,103호)
										02 -868-8788",서울,금천구
57,시흥1호,"서울 금천구 시흥2동 264-17
										(서울 금천구 금하로 753-1)
										02 -806-9990 807-9990",서울,금천구
58,시흥2호,"서울 금천구 시흥1동 905-5
										(서울 금천구 은행나무로 12)
										02 -806-9911,806-9922",서울,금천구
59,공릉1호,"서울 노원구 공릉동 338-6
										(서울 노원구 공릉로 35길 2)
										02 -974-3999",서울,노원구
60,공릉2호,"서울 노원구 공릉동 461-1
										(서울 노원구 공릉로 235)
										02 -975-9991",서울,노원구
61,상계4단지,"서울 노원구 상계7동 749-5 상계주공@4단지상가101호
										(서울 노원구 동일로 1356  101호 (상계동, 상계주공4단지아파트))
										02 -937-4785,952-9992",서울,노원구
